No.	英単語	意味	処理用	例文1	例文1（日本語）
326	nor	～もない(neither 〜, no 〜)，〜もまた（〜し）ない(=neither)			
327	unless	～しない限り，〜する場合を除いて			
328	except	～を除いて，〜以外は			
329	ought	Vすべきである(+ to V)，Vすべきだったのにしなかった(ought to have Ved)			
330	in spite of	～にもかかわらず			
331	whether	～かどうか，〜であろうと			
332	explain	～を説明する(+why)			
332.1	explanation	説明			
333	accept	〜を受け入れる			
333.1	acceptable	容認できる			
333.2	acceptance	容認			
334	produce	〜を生産する，農作物			
334.1	product	製品			
334.2	production	生産（高）			
334.3	productive	生産的な			
334.4	productivity	生産性			
334.5	by-product	副産物			
335	exist	存在する			
335.1	existence	存在，生存，生活(=life)			
335.2	existing	今ある，現存する			
335.3	coexist	共存する			
336	express	〜を表現する，急行			
336.1	expression	表現，表情			
336.2	expressive	表現力に富む			
337	add	〜を加える			
337.1	addition	追加，増加，足し算，Aに加えて(in addition to A)			
338	avoid	Aすることを避ける(+Ving)			
338.1	unavoidable	避けられない			
339	marry	結婚する			
339.1	marriage	結婚			
339.2	married	結婚している，既婚の，Aと結婚する(get married to A)			
340	protect	〜を守る			
340.1	protective	保護の，保護用の			
340.2	protection	保護			
341	affect	〜に影響する			
342	determine	〜を決定する，決心する			
342.1	determination	決心，決定			
343	solve	〜を解決する			
343.1	solution	解決（策），解答，溶解，溶液			
344	contain	〜を含んでいる			
344.1	container	容器			
345	discuss	〜を議論する			
345.1	discussion	討論，議論			
346	ignore	〜を無視する			
347	guess	〜を推測する，〜と考える(=suppose)，推測			
348	exchange	交換する，AをBに交換する(+A for B)			
349	satisfy	〜を満たす，を満足させる			
349.1	satisfaction	満足			
349.2	satisfactory	（人にとって）満足な，十分な			
350	complain	（のことで）苦情を言う(+about)			
350.1	complaint	不満，苦情			
351	achieve	〜を達成する，〜を完成する			
351.1	achievement	達成，業績			
352	enable	AがVすることを可能にする(+A to V)			
353	intend	Vするつもりだ(+to V)			
354	obtain	〜を得る			
355	divide	AをBに分割する(+A into B)			
355.1	division	分割，部門			
356	annoy	〜をいらだたせる			
356.1	annoyed	（人が）いらだっている(+by, with, at)			
356.2	annoying	（人を）いらだたせる			
356.3	annoyance	いらだち（の原因）			
357	differ	と異なる(+from)			
357.1	different	違った			
357.2	difference	違い			
357.3	differentiate	〜を区別する			
358	educate	〜を教育する			
358.1	education	教育			
358.2	educational	教育に関する			
358.3	educated	教育を受けた，強要ある			
359	borrow	〜を借りる			
360	invent	〜を発明する，〜を作り出す(=make up)			
360.1	invention	発明			
360.2	inventor	考案者，発明家			
360.3	inventive	発明の才がある			
361	promote	〜を促進する			
361.1	promotion	昇進，促進			
362	advise	〜に忠告する			
362.1	advice	助言，忠告，アドバイス			
363	retire	辞める，退職する，引退する(+from)			
363.1	retirement	退職，引退			
364	permit	〜を許す，AがVするのを許す(+A to V)(=allow A to V)			
364.1	permission	許可			
365	recommend	〜を勧める			
365.1	recommendation	推薦（状）			
366	apologize	謝る，AにBのことで謝る(+to A for B)			
366.1	apology	謝罪			
367	inform	〜に知らせる，AにBのことを知らせる(+to A of B, +to A about B)			
367.1	information	情報			
368	oppose	〜に反対する，Aに反対している(\textit{be} opposed to A)			
368.1	opposite	正反対の，逆の，〜に向き合って，〜の向こう側に			
368.2	opposition	反対，対立，抵抗			
369	trust	〜を信用する，信用，信頼			
369.1	distrust	〜を疑う，不信			
370	select	〜を選ぶ			
370.1	selection	選択			
370.2	selective	選択の，注意深く選ぶ			
371	praise	〜を褒める，褒めること，賞賛			
372	handle	〜に対処する，〜にさわる，取っ手			
373	propose	〜を提案する			
373.1	proposal	申し込み，提案，プロポーズ			
373.2	proposition	提案，申し込み			
374	breathe	〜を呼吸する			
374.1	breath	息，呼吸			
375	criticize	〜を非難する			
375.1	criticism	批判，非難，			
375.2	critic	批評家，評論家			
376	overcome	〜に打ち勝つ，〜を克服する			
377	possess	〜を持っている			
377.1	possession	所有，所有物			
378	predict	〜を予言する，〜を予測する			
378.1	prediction	予言，予測			
379	publish	〜を出版する，〜を発表する			
379.1	publication	出版（物），発表			
380	float	浮かぶ，〜を浮かべる			
381	recall	〜を思い出す			
382	explore	〜を探検する，〜を探究する			
382.1	exploration	探検，探究			
383	pretend	ふりをする(+to)			
384	absorb	〜を吸収する，Aに没頭する(=\textit{be} absorbed in A)			
384.1	absorption	吸収，没頭，熱中			
385	resemble	〜に似ている			
385.1	resemblance	類似，似ていること			
386	tear	〜を引き裂く			
387	consume	〜を消費する			
387.1	consumption	消費			
387.2	consumer	消費者			
387.3	time-consuming	時間がかかる			
388	compete	競争する(+with)			
388.1	competition	競争			
388.2	competitive	競争が激しい，競争力がある			
388.3	competitor	競争相手			
389	quit	〜をやめる，Vをやめる(+Ving)			
390	announce	〜を発表する，〜を知らせる			
390.1	announcement	発表，通知			
391	react	反応する			
391.1	reaction	反応，反作用			
392	wander	歩き回る			
393	text	メールを送る，テキスト，文章			
394	generate	〜を生み出す			
394.1	generation	世代，発生			
395	score	（点）を取る，得点			
396	government	政府，政治			
396.1	govern	〜を支配する，統治する			
396.2	governor	州知事			
397	knowledge	知識			
398	nation	（諸）国，国家，国民			
398.1	national	国家の，国民の			
398.2	nationality	国籍			
398.3	nationalism	民族主義，国粋主義			
398.4	nationwide	全国的な，全国規模の			
399	effort	努力			
400	period	時代，期間			
401	population	人口，住民，個体数			
401.1	populate	（場所）に住む			
402	purpose	目的			
403	behavior	行動			
403.1	behave	ふるまう			
404	lack	不足，Aを欠いている(lack A=\textit{be} lacking in A)			
405	skill	技術			
405.1	skilled	熟練した			
405.2	skillful	上手な			
406	quality	（音）質，性質，良質の			
407	environment	環境			
407.1	environmental	環境の			
407.2	environmentalist	環境保護主義者			
408	role	役割，Aで役割を果たす(play a role in A)			
409	attitude	態度，考え方，姿勢			
410	author	筆者，著者			
411	research	研究，調査，〜を研究（調査）する			
412	opportunity	機会			
413	source	（情報）源			
414	carbon	炭素			
415	shape	形，〜を形作る			
416	advantage	利点			
416.1	advantageous	有利な			
417	method	方法			
418	habit	習慣			
418.1	habitual	習慣的な			
419	detail	細部，詳細			
419.1	detailed	くわしい			
420	distance	距離			
420.1	distant	遠い			
421	crowd	群衆，群がる			
421.1	crowded	混み合った，満員の			
422	instance	例，場合(=case)			
423	desire	願望，欲望，〜を望む			
423.1	desirable	望ましい			
424	standard	水準，基準，標準，標準の			
425	task	仕事			
426	generation	世代			
427	responsibility	責任			
427.1	responsible	責任がある，信頼できる，原因となる			
428	experiment	実験			
428.1	experimental	実験的な			
429	athlete	運動選手			
429.1	athletic	運動の			
429.2	athletics	運動競技			
430	decade	10年			
431	loss	損失			
431.1	lose	〜を失う，（試合など）に負ける，（時計が）遅れる			
431.2	lost	道に迷った，途方に暮れた			
432	fever	熱，熱狂			
433	theory	理論			
433.1	theoretical	理論的な，理論上の，理論的には(in theory=in practice)			
434	statement	記述，言葉，声明			
434.1	state	〜を述べる，言う			
435	professor	教授			
435.1	tutor	大学の個別指導教官，家庭教師			
436	function	機能，役割，機能する，働く			
437	surface	表面，表面の，うわべの			
438	envelope	封筒			
439	organization	組織，期間，団体			
439.1	organize	〜を組織する，〜をまとめる			
440	policy	政策，方針			
441	resource	資源，財源，手段			
442	contrast	対比，差異，対照をなす			
443	flood	洪水，殺到			
444	mate	連れ合い，つがい，つがう			
445	goods	商品，品物			
446	creature	動物			
446.1	create	〜を作り出す			
447	structure	構造			
447.1	restructure	〜を再編成する，再構築する			
447.2	restructuring	辞任削減（リストラ），再編成			
447.3	infrastructure	インフラ			
448	tradition	伝統，慣習，言い伝え			
448.1	traditional	伝統的な，慣習的な			
449	weight	体重，重さ			
449.1	length	長さ			
449.2	width	幅，広さ			
449.3	depth	深さ			
450	charity	慈善			
450.1	charitable	寛容な，情け深い			
451	citizen	市民，国民			
451.1	citizenship	市民権			
452	impression	印象			
452.1	impress	（人）を感心させる			
452.2	impressive	見事な，印象的な			
453	cartoon	マンガ			
454	career	経歴			
455	site	用地，場所，位置			
455.1	website	ウェブサイト			
456	passenger	乗客			
457	violence	暴力			
457.1	violent	乱暴な，暴力的な，激しい			
458	income	所得，収入			
459	temperature	温度，気温，体温			
460	majority	大多数			
460.1	major	主要な，専攻する			
461	origin	起源，生まれ，出身			
461.1	original	最初の，独創的な，原物，原型，原作			
461.2	originate	起こる，始まる			
461.3	originality	独創性			
462	literature	文学，文献，論文			
463	equipment	設備，用具，機器			
463.1	equip	〜を装備させる			
464	stranger	見知らぬ人，（場所に）不案内な人			
